Edad,qx,lx,dx,Dx,Cx,Nx,Mx,Rx
0,0.01080429,10000000,108042.9,10000000,102897.99999999999,177908963.48965964,1528144.5957304835,2917168909.8282795
1,0.00440199,9891957.1,43544.29623462899,9420911.523809522,39495.96030351836,167908963.48965964,1425246.5957304835,2739259946.3386197
2,0.00454767,9848412.803765371,44787.33145529967,8932800.729038885,38688.9808489793,158488051.9658501,1385750.635426965,2571350982.8489604
3,0.00471059,9803625.472310072,46180.8601136091,8468740.284902338,37993.10790348391,149555251.23681125,1347061.6545779859,2412862930.88311
4,0.00484162,9757444.612196462,47241.83898330263,8027473.830098744,37015.216995507304,141086510.9519089,1309068.5466745018,2263307679.646299
5,0.00504765,9710202.77321316,49013.7050282094,7608197.954527104,36574.78133825593,133059037.12181015,1272053.3296789946,2122221168.69439
6,0.00524207,9661189.06818495,50644.62937866028,7209328.032497081,35992.1925707733,125450839.16728306,1235478.5483407388,1989162131.5725799
7,0.00543836,9610544.43880629,52265.60045422657,6830034.505045494,35375.41566748496,118241511.13478597,1199486.3557699653,1863711292.4052968
8,0.00563282,9558278.838352064,53840.06420624627,6469419.351042509,34705.78543708502,111411476.62974048,1164110.9401024804,1745469781.2705107
9,0.0058262,9504438.774145817,55374.761185928364,6126645.977460543,33995.299803695816,104942057.27869797,1129405.1546653954,1634058304.6407702
10,0.00613027,9449064.012959888,57925.31364672761,5800905.631111105,33867.7312030776,98815411.30123742,1095409.8548616995,1529116247.3620722
11,0.00634584,9391138.69931316,59594.663603649424,5490804.298426547,33184.5386182163,93014505.67012632,1061542.123658622,1430300836.060835
12,0.00658733,9331544.03570951,61469.95997275032,5196152.888454684,32598.832196861134,87523701.37169978,1028357.5850404057,1337286330.3907087
13,0.00686127,9270074.07573676,63604.48115363035,4916118.204426647,32124.585097606112,82327548.48324509,995758.7528435446,1249762629.0190089
14,0.00715908,9206469.59458313,65909.85234518819,4649892.752451582,31703.765910686732,77411430.27881844,963634.1677459385,1167435080.5357637
15,0.00812627,9140559.742237942,74278.65641655592,4396765.522138439,34027.908342464696,72761537.52636686,931930.4018352517,1090023650.2569454
16,0.00845708,9066281.085821386,76674.26444527834,4153367.8270274773,33452.727602473846,68364772.00422843,897902.493492787,1017262112.7305784
17,0.00878197,8989606.821376108,78946.45741712034,3922135.679090361,32803.8836854297,64211404.17720094,864449.7658903132,948897340.72635
18,0.0090946,8910660.363958986,81038.89174606139,3702563.4297339614,32069.841302912835,60289268.498110585,831645.8822048835,884685936.549149
19,0.00939622,8829621.472212926,82965.06586963654,3494181.0441580024,31268.660772131723,56586705.06837662,799576.0409019707,824396668.0510385
20,0.00954636,8746656.406343289,83498.73085125932,3296522.8098545372,29971.231896269484,53092524.02421862,768307.380129839,767809962.9826618
21,0.00984314,8663157.67549203,85272.67384194263,3109574.301298528,29150.452560079608,49796001.21436408,738336.1482335695,714717438.9584432
22,0.0101216,8577885.001650088,86821.92083270152,2932348.8820099467,28266.7261372875,46686426.91306555,709185.6956734898,664921437.7440791
23,0.01037641,8491063.080817387,88106.75186242434,2764446.4948245664,27319.076431773887,43754078.03105561,680918.9695362024,618235010.8310136
24,0.01061386,8402956.328954963,89187.80206164192,2605487.1091154325,26337.40515043421,40989631.53623104,653599.8931044284,574480932.799958
25,0.01071761,8313768.526893321,89103.72870151713,2455078.8892452153,25059.598146822304,38384144.42711561,627262.4879539943,533491301.26372695
26,0.01094971,8224664.7981918035,90057.69438740877,2313110.7725629066,24121.802054704556,35929065.53787039,602202.889807172,495107156.83661133
27,0.01118516,8134607.103804395,90986.88199318876,2178840.838481397,23210.174659951026,33615954.765307486,578081.0877524674,459178091.2987409
28,0.01142773,8043620.221811206,91920.32011739857,2051876.3381794747,22331.703605813072,31437113.92682609,554870.9130925164,425562136.53343344
29,0.01167715,7951699.901693808,92853.19250706385,1931836.237517496,21484.134781835644,29385237.588646617,532539.2094867033,394125022.6066074
30,0.01183078,7858846.709186744,92976.28647011235,1818359.9009491126,20488.205665667374,27453401.35112912,511055.0747048677,364739785.0179607
31,0.01217004,7765870.422716632,94510.95367927832,1711283.128571583,19834.651548610767,25635041.450180005,490566.8690392003,337286383.6668316
32,0.01242405,7671359.469037353,95309.35361129353,1609958.8042338488,19049.72255403957,23923758.321608424,470732.21749058954,311651342.2166516
33,0.01260603,7576050.11542606,95503.91503656437,1514244.3767162927,18179.628609730367,22313799.517374575,451682.4949365499,287727583.8950432
34,0.01274172,7480546.200389495,95315.02513242683,1423957.8730248339,17279.6881046457,20799555.14065828,433502.8663268196,265413784.37766862
35,0.0128699,7385231.175257069,95047.18670244096,1338870.667157101,16410.60152309064,19375597.26763345,416223.1782221739,244614229.23701033
36,0.01313684,7290183.988554629,95769.980628204,1258704.3195789102,15747.997384397153,18036726.600476347,399812.57669908326,225238631.9693769
37,0.01348688,7194414.007926424,97030.19839522273,1183018.0212621838,15195.449610095737,16778022.28089744,384064.57931468607,207201905.36890054
38,0.01392834,7097383.809531202,98854.77480964582,1111488.3801634128,14743.988633300256,15595004.259635253,368869.12970459036,190423883.0880031
39,0.01446344,6998529.034721556,101222.80478195313,1043816.3734270928,14378.262369600334,14483515.87947184,354125.14107129007,174828878.82836786
40,0.01491453,6897306.229939603,102870.08068562111,979732.5694657263,13916.429332641577,13439699.506044747,339746.87870168977,160345362.94889602
41,0.01560964,6794436.149253982,106058.70229284093,919162.2082537642,13664.563021377417,12459966.93657902,325830.4493690482,146905663.44285128
42,0.01637149,6688377.446961141,109498.70448914985,861728.0162679218,13435.972953381064,11540804.728325257,312165.88634767075,134445696.50627226
43,0.01718933,6578878.742471991,113086.51773433607,807257.3758732111,13215.441360779678,10679076.712057335,298729.9133942897,122904891.77794698
44,0.01805512,6465792.224737655,116740.65451270534,755601.1070898975,12992.827295848523,9871819.336184124,285514.47203351004,112225815.06588966
45,0.01883983,6349051.57022495,119615.05224427111,706627.2746945301,12678.797836769756,9116218.229094228,272521.6447376615,102353995.72970553
46,0.01978603,6229436.517980679,123255.81782786125,660299.5590151636,12442.577984438853,8409590.954399697,259842.84690089175,93237777.5006113
47,0.02077704,6106180.700152817,126868.36065430309,616414.1448871454,12197.3917570343,7749291.395384533,247400.2689164529,84828186.5462116
48,0.02181627,5979312.339498514,130446.29241283124,574863.6986116756,11944.173011534227,7132877.250497388,235202.8771594186,77078895.15082707
49,0.02290607,5848866.047085683,133974.53509516796,535545.0637614902,11683.078779690624,6558013.551885712,223258.70414788436,69946017.90032968
50,0.02419355,5714891.511990515,138263.51353991812,498359.83908839506,11482.946366644803,6022468.4881242225,211575.62536819372,63388004.34844397
51,0.02537782,5576627.998450597,141522.66155163952,463145.47181277914,11193.926111885507,5524108.649035827,200092.67900154894,57365535.86031975
52,0.02658361,5435105.336898957,144484.7205850405,429896.9994240946,10884.013497962242,5060963.177223048,188898.75288966342,51841427.21128392
53,0.02778798,5290620.616313917,147015.6598737188,398541.70023927063,10547.303614680808,4631066.177798953,178014.73939170118,46780464.03406087
54,0.02896646,5143604.956440197,148992.02722652673,369016.2204227197,10180.08913164371,4232524.477559683,167467.43577702038,42149397.85626192
55,0.03023407,4994612.92921367,151007.47692475113,341263.9303185655,9826.473864501553,3863508.257136963,157287.34664537667,37916873.37870224
56,0.03130672,4843605.452288919,151637.39968528255,315186.7931055608,9397.585409003546,3522244.3268183973,147460.87278087513,34053365.121565275
57,0.03230843,4691968.052603637,151590.12138978092,290780.3127867687,8947.290839094687,3207057.5337128364,138063.28737187156,30531120.794746876
58,0.033239,4540377.931213856,150917.62205561734,267986.3403863993,8483.42663628907,2916277.220926068,129115.99653277689,27324063.261034038
59,0.03410416,4389460.309158239,149698.85669718205,246741.65944599596,8014.206697535008,2648290.8805396687,120632.56989648781,24407786.04010797
60,0.03568219,4239761.452461056,151283.9737013914,226977.84991769923,7713.3969205284075,2401549.221093673,112618.36319895281,21759495.159568302
61,0.03646622,4088477.478759665,149091.31920549527,208455.98395347083,7239.620734441653,2174571.371175973,104904.9662784244,19357945.93847463
62,0.03722138,3939386.15955417,146629.38921150638,191289.88779267343,6781.022479703293,1966115.3872225026,97665.34554398274,17183374.567298654
