Edad,qx,px,lx,dx,Lx,Tx,ex
0,0.01080429,0.98919571,10000000,108042.9,9945978.55,527617535.1194026,52.761753511940256
1,0.00440199,0.99559801,9891957.1,43544.29623462899,9870184.951882686,517671556.5694026,52.33257194063272
2,0.00454767,0.99545233,9848412.803765371,44787.33145529967,9826019.138037723,507801371.6175199,51.56174723132755
3,0.00471059,0.99528941,9803625.472310072,46180.8601136091,9780535.042253267,497975352.4794822,50.795020055181894
4,0.00484162,0.99515838,9757444.612196462,47241.83898330263,9733823.692704812,488194817.4372289,50.033060585043195
5,0.00504765,0.99495235,9710202.77321316,49013.7050282094,9685695.920699054,478460993.7445241,49.27404760942997
6,0.00524207,0.99475793,9661189.06818495,50644.62937866028,9635866.753495619,468775297.82382506,48.52149093816399
7,0.00543836,0.99456164,9610544.43880629,52265.60045422657,9584411.638579177,459139431.0703294,47.774549505892345
8,0.00563282,0.99436718,9558278.838352064,53840.06420624627,9531358.80624894,449555019.43175024,47.03305135103777
9,0.0058262,0.9941738,9504438.774145817,55374.761185928364,9476751.393552853,440023660.6255013,46.2966484483506
10,0.00613027,0.99386973,9449064.012959888,57925.31364672761,9420101.356136523,430546909.23194844,45.565032540940635
11,0.00634584,0.99365416,9391138.69931316,59594.663603649424,9361341.367511336,421126807.87581193,44.84299735735049
12,0.00658733,0.99341267,9331544.03570951,61469.95997275032,9300809.055723134,411765466.5083006,44.126188006248064
13,0.00686127,0.99313873,9270074.07573676,63604.48115363035,9238271.835159944,402464657.4525775,43.415473723772884
14,0.00715908,0.99284092,9206469.59458313,65909.85234518819,9173514.668410536,393226385.6174175,42.711962666860124
15,0.00812627,0.99187373,9140559.742237942,74278.65641655592,9103420.414029665,384052870.949007,42.01634055016601
16,0.00845708,0.99154292,9066281.085821386,76674.26444527834,9027943.953598747,374949450.5349773,41.35647758829746
17,0.00878197,0.99121803,8989606.821376108,78946.45741712034,8950133.592667546,365921506.5813786,40.704951156625135
18,0.0090946,0.9909054,8910660.363958986,81038.89174606139,8870140.918085955,356971372.98871106,40.0611580296064
19,0.00939622,0.99060378,8829621.472212926,82965.06586963654,8788138.939278107,348101232.0706251,39.42425314223376
20,0.00954636,0.99045364,8746656.406343289,83498.73085125932,8704907.04091766,339313093.131347,38.79346316671007
21,0.00984314,0.99015686,8663157.67549203,85272.67384194263,8620521.338571059,330608186.09042937,38.16254978548018
22,0.0101216,0.9898784,8577885.001650088,86821.92083270152,8534474.041233737,321987664.7518583,37.53695283743242
23,0.01037641,0.98962359,8491063.080817387,88106.75186242434,8447009.704886176,313453190.7106246,36.91565917332111
24,0.01061386,0.98938614,8402956.328954963,89187.80206164192,8358362.427924142,305006181.0057384,36.297484964279306
25,0.01071761,0.98928239,8313768.526893321,89103.72870151713,8269216.662542563,296647818.5778142,35.68151045079255
26,0.01094971,0.98905029,8224664.7981918035,90057.69438740877,8179635.9509980995,288378601.91527164,35.062657140589096
27,0.01118516,0.98881484,8134607.103804395,90986.88199318876,8089113.6628078,280198965.9642735,34.44529801976914
28,0.01142773,0.98857227,8043620.221811206,91920.32011739857,7997660.061752507,272109852.3014657,33.82927646976773
29,0.01167715,0.98832285,7951699.901693808,92853.19250706385,7905273.305440276,264112192.2397132,33.21455732798142
30,0.01183078,0.98816922,7858846.709186744,92976.28647011235,7812358.565951688,256206918.93427292,32.60108364688868
31,0.01217004,0.98782996,7765870.422716632,94510.95367927832,7718614.945876992,248394560.36832124,31.985411402399972
32,0.01242405,0.98757595,7671359.469037353,95309.35361129353,7623704.792231707,240675945.42244425,31.37331087062795
33,0.01260603,0.98739397,7576050.11542606,95503.91503656437,7528298.1579077775,233052240.63021255,30.76170789257064
34,0.01274172,0.98725828,7480546.200389495,95315.02513242683,7432888.687823283,225523942.47230476,30.1480582341116
35,0.0128699,0.9871301,7385231.175257069,95047.18670244096,7337707.581905849,218091053.78448147,29.530701017885203
36,0.01313684,0.98686316,7290183.988554629,95769.980628204,7242298.998240527,210753346.20257562,28.909194409009718
37,0.01348688,0.98651312,7194414.007926424,97030.19839522273,7145898.908728813,203511047.2043351,28.28736947583464
38,0.01392834,0.98607166,7097383.809531202,98854.77480964582,7047956.422126379,196365148.2956063,27.66725790310284
39,0.01446344,0.98553656,6998529.034721556,101222.80478195313,6947917.63233058,189317191.8734799,27.050997564520653
40,0.01491453,0.98508547,6897306.229939603,102870.08068562111,6845871.189596793,182369274.24114934,26.440652069285644
41,0.01560964,0.98439036,6794436.149253982,106058.70229284093,6741406.798107562,175523403.05155253,25.833402389221764
42,0.01637149,0.98362851,6688377.446961141,109498.70448914985,6633628.094716566,168781996.25344497,25.235118321579016
43,0.01718933,0.98281067,6578878.742471991,113086.51773433607,6522335.483604823,162148368.1587284,24.646809054547447
44,0.01805512,0.98194488,6465792.224737655,116740.65451270534,6407421.897481303,155626032.67512357,24.069136041784574
45,0.01883983,0.98116017,6349051.57022495,119615.05224427111,6289244.044102814,149218610.77764228,23.50250413422857
46,0.01978603,0.98021397,6229436.517980679,123255.81782786125,6167808.609066748,142929366.73353946,22.944188663129864
47,0.02077704,0.97922296,6106180.700152817,126868.36065430309,6042746.519825665,136761558.1244727,22.397234022414374
48,0.02181627,0.97818373,5979312.339498514,130446.29241283124,5914089.193292098,130718811.60464706,21.861847012262025
49,0.02290607,0.97709393,5848866.047085683,133974.53509516796,5781878.779538099,124804722.41135496,21.33827675426786
50,0.02419355,0.97580645,5714891.511990515,138263.51353991812,5645759.755220556,119022843.63181686,20.82678969182406
51,0.02537782,0.97462218,5576627.998450597,141522.66155163952,5505866.667674777,113377083.8765963,20.33075971861434
52,0.02658361,0.97341639,5435105.336898957,144484.7205850405,5362862.976606437,107871217.20892152,19.847125404651
53,0.02778798,0.97221202,5290620.616313917,147015.6598737188,5217112.786377057,102508354.23231508,19.375487615994423
54,0.02896646,0.97103354,5143604.956440197,148992.02722652673,5069108.942826934,97291241.44593802,18.914990997534083
55,0.03023407,0.96976593,4994612.92921367,151007.47692475113,4919109.190751295,92222132.5031111,18.46432022063222
56,0.03130672,0.96869328,4843605.452288919,151637.39968528255,4767786.752446278,87303023.3123598,18.024387859895448
57,0.03230843,0.96769157,4691968.052603637,151590.12138978092,4616172.991908746,82535236.55991352,17.59074990165664
58,0.033239,0.966761,4540377.931213856,150917.62205561734,4464919.120186048,77919063.56800477,17.161360738790606
59,0.03410416,0.96589584,4389460.309158239,149698.85669718205,4314610.880809648,73454144.44781873,16.734208598392573
60,0.03568219,0.96431781,4239761.452461056,151283.9737013914,4164119.4656103607,69139533.56700908,16.307411240525248
61,0.03646622,0.96353378,4088477.478759665,149091.31920549527,4013931.8191569177,64975414.10139872,15.892325306659272
62,0.03722138,0.96277862,3939386.15955417,146629.38921150638,3866071.4649484167,60961482.28224181,15.47486837115277
63,0.03796311,0.96203689,3792756.770342664,143984.8424757633,3720764.3491047826,57095410.81729339,15.053802359209815
64,0.03870763,0.96129237,3648771.927866901,141235.31373825867,3578154.2709977715,53374646.468188606,14.62811256043395
65,0.04007493,0.95992507,3507536.6141286422,140564.28428364237,3437254.471986821,49796492.197190836,14.196998542112581
66,0.0408964,0.9591036,3366972.329845,137697.04719027306,3298123.8062498635,46359237.72520401,13.768820525869359
67,0.04178883,0.95821117,3229275.282654727,134947.63581006034,3161801.4647496967,43061113.91895415,13.33460611123695
68,0.04278337,0.95721663,3094327.6468446665,132385.7646161847,3028134.764536574,39899312.454204455,12.894339904466936
69,0.04391568,0.95608432,2961941.8822284816,130075.69187854369,2896904.0362892095,36871177.68966788,12.44831234228237
70,0.04529994,0.95470006,2831866.190349938,128283.36851088075,2767724.5060944976,33974273.65337867,11.997132410122958
71,0.04683533,0.95316467,2703582.821839057,126623.19364316344,2640271.225017475,31206549.147284172,11.542664384165807
72,0.04864091,0.95135909,2576959.6281958935,125345.66134870992,2514286.7975215386,28566277.922266696,11.085264049039719
73,0.05076533,0.9492346700000001,2451613.9668471836,124456.99205960633,2389385.4708173806,26051991.124745157,10.626465453795912
74,0.0532563,0.9467437,2327156.9747875775,123935.76999637966,2265189.089789388,23662605.653927777,10.16803159833586
75,0.05714919,0.94285081,2203221.2047911976,125912.30724464107,2140265.051168877,21397416.56413839,9.711878461230702
76,0.06055723,0.93944277,2077308.8975465565,125796.07268977325,2014410.86120167,19257151.512969512,9.270239748991361
77,0.06444797,0.93555203,1951512.8248567833,125771.03999098521,1888627.3048612906,17242740.651767842,8.835576395985635
78,0.06883571,0.93116429,1825741.784865798,125676.23203790445,1762903.6688468456,15354113.346906552,8.409794569079857
79,0.07371979,0.92628021,1700065.5528278935,125328.4755407062,1637401.3150575403,13591209.678059706,7.9945209497669385
80,0.08005169,0.91994831,1574737.0772871873,126060.36434249995,1511706.8951159373,11953808.363002166,7.590986797361177
81,0.08593481,0.91406519,1448676.7129446873,124491.75807832625,1386430.833905524,10442101.467886228,7.208027418802668
82,0.09222398,0.90777602,1324184.954866361,122121.60679389618,1263124.1514694132,9055670.633980704,6.838675066274724
83,0.09885844,0.90114156,1202063.348072465,118834.1073716209,1142646.2943866546,7792546.482511291,6.482642112836075
84,0.10576601,0.89423399,1083229.2407008442,114568.83470425788,1025944.8233487152,6649900.188124637,6.138959269436064
85,0.11424258,0.88575742,968660.4059965863,110662.26392489749,913329.2740341376,5623955.364775922,5.805910234340415
86,0.121534,0.878466,857998.1420716888,104275.94619854062,805860.1689724184,4710626.090741784,5.490252087688314
87,0.12964852,0.8703514800000001,753722.1958731482,97718.96718610376,704862.7122800963,3904765.9217693657,5.1806434030324615
88,0.13990696,0.86009304,656003.2286870445,91779.41747578917,610113.5199491498,3199903.2094892696,4.8778772261436965
89,0.15006501,0.84993499,564223.8112112553,84670.25187165513,521888.68527542765,2589789.68954012,4.590004246684402
90,0.16293381,0.83706619,479553.5593396001,78135.48852226214,440485.81507846905,2067901.004264692,4.3121377455991095
91,0.17478192,0.82521808,401418.070817338,70160.62114015031,366337.7602472629,1627415.189186223,4.054165239428808
92,0.18747762,0.81252238,331257.4496771877,62103.35827274893,300205.7705408132,1261077.4289389602,3.806940584031808
93,0.20106321,0.79893679,269154.0914044388,54116.98560240987,242095.59860323384,960871.6583981469,3.569968613088304
94,0.21557974,0.78442026,215037.1058020289,46357.64335915388,191858.28412245197,718776.059794913,3.3425675867152194
95,0.23386842,0.76613158,168679.46244287502,39448.79936796452,148955.06275889277,526917.7756724611,3.123781449391962
96,0.25056103,0.7494389699999999,129230.66307491051,32380.168047632545,113040.57905109423,377962.7129135683,2.924713871463126
97,0.26830449,0.73169551,96850.49502727795,25985.422674541347,83857.78369000729,264922.13386247406,2.7353720163005746
98,0.28712621,0.71287379,70865.0723527366,20347.219646017045,60691.46252972809,181064.35017246677,2.5550577197071696
99,0.30704706,0.6929529400000001,50517.85270671956,15511.358151111282,42762.173631163925,120372.88764273869,2.382779179898267
