edad,Exposicion,Muertes,TasaBruta
0,21240.98904859685,5,2.353939352146266e-4
1,24648.885010266942,0,0
2,28361.564681724845,3,1.0577695672527864e-4
3,32464.052019164956,5,1.5401651023255755e-4
4,36810.35523613963,4,1.086650746601023e-4
5,41658.37577002053,2,4.800955301380955e-5
6,46910.23134839151,1,2.1317311197491858e-5
7,52466.713210130045,0,0
8,58432.34907597536,2,3.422761589474256e-5
9,64417.09240246406,5,7.761915065587068e-5
10,68959.8911704312,10,1.4501182977921847e-4
11,72643.60369609857,4,5.506334758300029e-5
12,75465.23477070499,6,7.950680890651853e-5
13,77285.16632443531,10,1.2939093587534007e-4
14,78190.33470225873,5,6.39465225342687e-5
15,78202.84531143053,22,2.813196874408912e-4
16,77560.1279945243,41,5.286221291807896e-4
17,76488.50718685832,48,6.275452583057733e-4
18,74846.33470225873,51,6.81396092445672e-4
19,72225.37508555784,55,7.615052180047145e-4
20,68730.93839835729,59,8.584198233704042e-4
21,64353.01505817933,74,0.0011499072721472205
22,59444.03627652293,60,0.001009352724988102
23,55509.53798767967,66,0.0011889848554431975
24,52046.8945927447,58,0.0011143796465444677
25,49007.13278576318,59,0.001203906383544638
26,46776.29089664613,63,0.0013468361597801914
27,44974.59069130733,59,0.0013118518499692206
28,43442.666666666664,61,0.0014041495304155669
29,41858.090349075974,73,0.0017439878262772083
30,40130.33607118412,65,0.0016197222939947846
31,38345.20260095825,65,0.0016951273064436919
32,37034.97467488022,59,0.0015930887091983902
33,36279.80150581793,75,0.00206726599614865
34,35940.553045859,68,0.0018920131783513228
35,36057.39082819986,66,0.0018304153041595718
36,36392.184120465434,92,0.002528015347896173
37,37045.1054072553,88,0.0023754825106467414
38,37987.31279945243,80,0.0021059662846473616
39,39028.15331964408,110,0.002818478217482906
40,40318.27857631759,112,0.002777896377396114
41,42103.580424366875,105,0.0024938496665056226
42,44269.82614647502,117,0.002642883656531281
43,47049.90006844627,144,0.0030605803580988416
44,50054.675564681726,153,0.003056657510491505
45,53250.62217659137,163,0.0030609970989532165
46,56562.736481861735,192,0.0033944609462374514
47,59721.71252566735,217,0.003633519382196838
48,62736.69404517454,237,0.0037776934791837204
49,65808.00684462697,236,0.003586189755863556
50,68710.89459274469,284,0.004133260113746038
51,73926.29363449692,279,0.003774029324118687
52,80004.25256673511,341,0.004262273429972447
53,85347.0848733744,360,0.004218070254351577
54,90020.79945242984,441,0.004898867847013955
55,93986.52156057495,463,0.004926238276640479
56,96857.41204654347,507,0.005234498726399672
57,97776.83299110198,519,0.005308005834543964
58,97780.30732375085,587,0.006003253784593266
59,96780.51950718685,603,0.006230592717114126
60,95548.24640657085,705,0.007378471364091065
61,93356.21765913758,745,0.007980186201631965
62,90559.93429158111,763,0.008425359470152929
63,87181.36755646818,797,0.009141861642440694
64,80862.66324435319,899,0.01111761552155876
65,72999.52703627653,1175,0.01609599469618609
66,65164.67282683094,1180,0.018107970911413005
67,57560.68514715948,1137,0.019753065779066895
68,50201.996577686514,1109,0.022090754862385726
69,43485.5106091718,1025,0.023571069665301595
70,38341.70636550308,1028,0.02681153494318436
71,33773.52156057495,957,0.028335807336038677
72,29824.143737166323,882,0.02957335532489629
73,25942.25325119781,813,0.0313388352248262
74,22618.462012320328,785,0.03470616169978351
75,19802.09787816564,668,0.03373379952517838
76,17329.520876112252,679,0.039181694915522015
77,15073.737166324436,656,0.04351940018335601
78,13110.466119096509,617,0.04706163719848885
79,11259.01505817933,581,0.05160309289913608
80,9545.777549623546,540,0.056569514342107816
81,7999.7707049965775,475,0.05937670184763167
82,6546.244353182752,462,0.07057481741807849
83,5209.4558521560575,401,0.07697540998145451
84,4056.3401779603014,363,0.08948953590537657
85,3055.2436687200548,266,0.08706343219800744
86,2303.5386721423683,257,0.11156747794513099
87,1728.031485284052,194,0.1122664729503528
88,1268.3141683778235,168,0.13245929454125105
89,879.9541409993155,134,0.15228066299889625
90,592.9247091033538,92,0.1551630394002745
91,383.2587268993839,72,0.18786264981489126
92,248.99726214921287,39,0.15662822821171846
93,175.01505817932923,30,0.17141382182817944
94,118.13415468856951,30,0.25394857295155093
95,72.2464065708419,18,0.24914733969986355
96,45.461327857631744,10,0.2199671780665172
97,33.54620123203287,2,0.0596192691436616
98,24.04175222450378,9,0.3743487544483983
99,13,5,0.38461538461538464
100,8.346338124572199,2,0.2396260455961952
101,4.765229295003422,0,0
102,2.5037645448323076,1,0.3993985784581737
103,1.8521560574948666,0,0
104,1,0,0
105,1,0,0
106,1,0,0
107,0.3702943189596226,0,0
