"Metrica","Valor"
"Fecha inicio estudio","2000-01-01"
"Fecha fin estudio","2012-12-31"
"Registros originales","365898"
"Muertes en base original","41370"
"Registros en análisis","360441"
"Muertes en ventana observación","28510"
"Exposición total (años-persona)","4471045.07"
"Tasa cruda global","0.006377"
"Rango edades observadas (min)","0"
"Rango edades observadas (max)","107"
"Rango graduación (min)","20"
"Rango graduación (max)","84"
"qx mínimo suavizado","9.105e-04"
"qx máximo suavizado","8.662e-02"
"Rango tabla final (min)","0"
"Rango tabla final (max)","109"
