"edad","qx","lx","metodo"
0,0.00182915789004023,1e+05,"Opperman"
1,0.0011070522912412,99817.084210996,"Opperman"
5,0.000936116375180293,99441.1823422915,"Opperman"
10,0.00133449834353189,98902.5205413605,"Heligman-Pollard"
15,0.00109291441565644,98298.8535266005,"Heligman-Pollard"
20,0.00101336007944826,97785.5519398415,"Whittaker-Henderson"
25,0.00118644127484361,97269.6065268159,"Whittaker-Henderson"
30,0.0016371779859992,96614.4174307864,"Whittaker-Henderson"
40,0.00258715513984684,94611.9051818137,"Whittaker-Henderson"
50,0.00379115186482648,91789.0145108472,"Whittaker-Henderson"
60,0.0081036931317075,87042.5391283891,"Whittaker-Henderson"
65,0.0131348377433981,82821.7323695633,"Whittaker-Henderson"
70,0.0218377619799736,76308.8413793041,"Whittaker-Henderson"
75,0.0365663175902481,66503.753923603,"Whittaker-Henderson"
80,0.060961015684177,52720.330862832,"Whittaker-Henderson"
85,0.100198155836555,35646.4561950521,"Heligman-Pollard"
90,0.160563622197083,18540.326013597,"Heligman-Pollard"
95,0.247433073962604,6329.3834773402,"Heligman-Pollard"
100,0.361170665987837,1128.50903428546,"Heligman-Pollard"
