"Edad","exposicion","muertes","qx_crudo","qx_graduado"
0,21240.9890485968,5,0.000235393935214627,1.46150151555832e-08
2,28361.5646817248,3,0.000105776956725279,3.21681820454928e-09
3,32464.052019165,5,0.000154016510232558,1.91402302918229e-09
4,36810.3552361396,4,0.000108665074660102,1.31325601254545e-09
5,41658.3757700205,2,4.80095530138096e-05,1.01658636241607e-09
6,46910.2313483915,1,2.13173111974919e-05,8.77900445340764e-10
8,58432.3490759754,2,3.42276158947426e-05,8.60863719915157e-10
9,64417.0924024641,5,7.76191506558707e-05,9.53142845372349e-10
10,68959.8911704312,10,0.000145011829779218,1.13919558858074e-09
11,72643.6036960986,4,5.50633475830003e-05,1.42981209759463e-09
12,75465.234770705,6,7.95068089065185e-05,1.85369373481345e-09
13,77285.1663244353,10,0.00012939093587534,2.44796803789357e-09
14,78190.3347022587,5,6.39465225342687e-05,3.23933270430830e-09
15,78202.8453114305,22,0.000281319687440891,4.23267505355746e-09
16,77560.1279945243,41,0.00052862212918079,5.41168437220913e-09
17,76488.5071868583,48,0.000627545258305773,6.76445440590403e-09
18,74846.3347022587,51,0.000681396092445672,8.30250591808547e-09
19,72225.3750855578,55,0.000761505218004715,1.00902467743242e-08
20,68730.9383983573,59,0.000858419823370404,1.21697196365163e-08
21,64353.0150581793,74,0.00114990727214722,1.46319729986048e-08
22,59444.0362765229,60,0.0010093527249881,1.75294558277041e-08
23,55509.5379876797,66,0.0011889848554432,2.04667242457767e-08
24,52046.8945927447,58,0.00111437964654447,2.34997339950013e-08
25,49007.1327857632,59,0.00120390638354464,2.65895620145482e-08
26,46776.2908966461,63,0.00134683615978019,2.94372067550106e-08
27,44974.5906913073,59,0.00131185184996922,3.2159889999986e-08
28,43442.6666666667,61,0.00140414953041557,3.48417921337229e-08
29,41858.090349076,73,0.00174398782627721,3.77847741495785e-08
30,40130.3360711841,65,0.00161972229399478,4.1199025032326e-08
31,38345.2026009582,65,0.00169512730644369,4.51071137283394e-08
32,37034.9746748802,59,0.00159308870919839,4.88865859908769e-08
33,36279.8015058179,75,0.00206726599614865,5.22574505969503e-08
34,35940.553045859,68,0.00189201317835132,5.52486572182923e-08
35,36057.3908281999,66,0.00183041530415957,5.76771613896925e-08
36,36392.1841204654,92,0.00252801534789617,5.98406642819742e-08
37,37045.1054072553,88,0.00237548251064674,6.1533416777792e-08
38,37987.3127994524,80,0.00210596628464736,6.27751771885866e-08
39,39028.1533196441,110,0.00281847821748291,6.38699852674577e-08
40,40318.2785763176,113,0.00280269902362287,6.45655875780725e-08
41,42103.5804243669,105,0.00249384966650562,6.44924136528462e-08
42,44269.826146475,117,0.00264288365653128,6.3893553657849e-08
43,47049.9000684463,144,0.00306058035809884,6.25276795391912e-08
44,50054.6755646817,153,0.0030566575104915,6.10238634313306e-08
45,53250.6221765914,163,0.00306099709895322,5.94626552467405e-08
46,56562.7364818617,192,0.00339446094623745,5.79810086957634e-08
47,59721.7125256674,217,0.00363351938219684,5.68707364955366e-08
48,62736.6940451745,237,0.00377769347918372,5.61044497326549e-08
49,65808.006844627,236,0.00358618975586356,5.55093457545707e-08
50,68710.8945927447,284,0.00413326011374604,5.52978699622641e-08
51,73926.2936344969,279,0.00377402932411869,5.36194871678805e-08
52,80004.2525667351,341,0.00426227342997245,5.18835514189035e-08
53,85347.0848733744,360,0.00421807025435158,5.11615889296952e-08
54,90020.7994524298,441,0.00489886784701395,5.12960282208847e-08
55,93986.521560575,464,0.00493687810013214,5.2274998842505e-08
