Edad,qx,px,lx,dx,Dx,Cx,Nx,Mx,Rx
0,5.3235405947019e-4,0.9994676459405298,10000000,5323.5405947019,10000000,5070.038661620857,204026286.20130843,284460.2355702695,3928384496.615557
1,4.5010374849185013e-4,0.9995498962515081,9994676.4594053,4498.641339341578,9518739.485147903,4080.400307792814,194026286.20130843,279390.1969086487,3724358210.4142485
2,3.7969077472631594e-4,0.9996203092252737,9990177.818065956,3793.1783553951195,9061385.776023543,3276.690081326093,184507546.71616054,275309.7966008559,3530331924.21294
3,3.211151381735875e-4,0.9996788848618264,9986384.639710562,3206.779283435249,8626614.52517919,2638.225252593517,175446160.94013697,272033.10651952977,3345824377.49678
4,2.743768388336648e-4,0.9997256231611663,9983177.860427126,2739.1527828582243,8213185.132060921,2146.197879324315,166819546.4149578,269394.88126693625,3170378216.5566425
5,2.3947587670654778e-4,0.9997605241232934,9980438.707644269,2390.074309429076,7819934.8802739335,1783.5102488016312,158606361.28289688,267248.68338761193,3003558670.141685
6,2.1641225179223653e-4,0.9997835877482077,9978048.633334838,2159.3719732324407,7445773.518583514,1534.6253461825356,150786426.40262294,265465.1731388103,2844952308.858788
7,2.0518596409073108e-4,0.9997948140359093,9975889.261361606,2046.9124557548523,7089678.2494952595,1385.430920681687,143340652.88403943,263930.54779262777,2694165882.4561653
8,2.057970136020312e-4,0.999794202986398,9973842.348905852,2052.5869695422925,6750689.0924081365,1323.1158618794295,136250974.63454416,262545.1168719461,2550825229.572126
9,2.182454003261371e-4,0.9997817545996739,9971789.761936309,2176.2972485618648,6427904.591193488,1336.0577245364163,129500285.54213603,261222.00101006665,2414574254.9375815
10,2.425311242630488e-4,0.9997574688757369,9969613.464687748,2417.941562058749,6120477.838650214,1413.7203535570586,123072380.95094255,259885.94328553023,2285073969.3954453
11,2.6257432426530564e-4,0.9997374256757346,9967195.523125688,2617.129629304907,5827612.7926466465,1457.315705818137,116951903.11229232,258472.22293197317,2162001588.444503
12,2.842739296775946e-4,0.9997157260703224,9964578.393496383,2832.6698574996694,5548650.105862416,1502.2253047614383,111124290.31964567,257014.90722615505,2045049685.3322105
13,3.0776682876536586e-4,0.9996922331712347,9961745.723638885,3065.8948903312844,5282926.446945159,1548.4852563590414,105575640.21378326,255512.6819213936,1933925395.012565
14,3.3320122248183616e-4,0.9996667987775182,9958679.828748554,3318.244293244221,5029810.035643792,1596.1322406932566,100292713.7668381,253964.19666503457,1828349754.7987816
15,3.60737559368464e-4,0.9996392624406315,9955361.58445531,3591.272840606973,4788699.139801013,1645.2034668968388,95262903.73119432,252368.0644243413,1728057041.0319436
16,3.9054954771725064e-4,0.9996094504522828,9951770.311614702,3886.659394187084,4559020.643962639,1695.7366195554453,90474204.5913933,250722.86095744447,1632794137.3007493
17,4.2282525137991834e-4,0.9995771747486201,9947883.652220516,4206.216405948319,4340228.686202006,1747.7697955139959,85915183.94743066,249027.12433788902,1542319932.709356
18,4.577682761366936e-4,0.9995422317238634,9943677.435814567,4551.900078252172,4131803.3599206815,1801.341429911132,81574955.26122865,247279.35454237502,1456404748.7619252
19,4.955990541086983e-4,0.9995044009458913,9939125.535736315,4925.821214178527,3933249.4775421666,1856.4902101365994,77443151.90130797,245478.0131124639,1374829793.5006967
20,4.755126916194201e-4,0.9995244873083806,9934199.714522136,4723.838045337296,3744095.393163355,1695.5855981742645,73509902.42376581,243621.5229023273,1297386641.5993886
21,5.808840196655664e-4,0.9994191159803344,9929475.8764768,5767.873860300117,3564109.5507478784,1971.746935587489,69765807.03060246,241925.93730415305,1223876739.175623
22,5.333226255378956e-4,0.9994666773744622,9923708.002616499,5292.538007026857,3392418.3013957245,1723.098509926834,66201697.47985457,239954.19036856556,1154110932.1450205
23,6.026975901256298e-4,0.9993973024098743,9918415.464609472,5977.805098384908,3229151.474247906,1853.5255349331787,62809279.17845885,238231.0918586387,1087909234.665166
24,6.751660777336281e-4,0.9993248339222663,9912437.659511087,6692.541655351205,3073528.830891644,1976.3261005279373,59580127.704210944,236377.56632370554,1025099955.486707
25,6.536627729963565e-4,0.9993463372270036,9905745.117855737,6475.016822332702,2925193.989034371,1821.038489928077,56506598.8733193,234401.2402231776,965519827.7824961
26,7.238759247079974e-4,0.999276124075292,9899270.101033403,7165.8432983197845,2784077.998685663,1919.3590816740711,53581404.88428493,232580.20173324953,909013228.9091767
27,6.237530310489201e-4,0.9993762469689511,9892104.257735083,6170.230014214186,2649583.496809433,1573.986416335315,50797326.88559926,230660.84265157545,855431824.0248919
28,6.895571842795722e-4,0.9993104428157205,9885934.02772087,6816.916832128813,2521838.867687887,1656.1448655329941,48147743.38878983,229086.85623524012,804634497.1392926
29,7.919362826731593e-4,0.9992080637173268,9879117.110888742,7823.631280890032,2400095.1576943593,1810.2118449964962,45625904.521101944,227430.71136970713,756486753.7505027
30,7.373805658677916e-4,0.9992626194341322,9871293.47960785,7278.899971840278,2283994.700244869,1603.9745757196179,43225809.36340758,225620.49952471064,710860849.2294008
31,8.511270228769465e-4,0.9991488729771231,9864014.57963601,8395.529362780391,2173629.0732765365,1761.9375637872708,40941814.663162716,224016.52494899102,667635039.8659933
32,0.0010279314702849672,0.998972068529715,9855619.05027323,10130.900980915892,2068360.9893662476,2024.8889075041104,38768185.58988618,222254.58738520375,626693225.2028304
33,9.41645337799739e-4,0.9990583546622003,9845488.149292314,9270.958014143689,1967842.7200127316,1764.7713550696626,36699824.60051993,220229.69847769965,587925039.6129444
34,0.001141834899591706,0.9988581651004083,9836217.19127817,11231.336068965324,1872371.1524665793,2036.132120833413,34731981.8805072,218464.92712262998,551225215.0124243
35,0.0010227711362063615,0.9989772288637936,9824985.855209203,10048.711946343748,1781174.4892759083,1734.984624931911,32859610.72804062,216428.79500179656,516493233.1319172
36,0.0011892744365630992,0.9988107255634369,9814937.14326286,11672.65384095617,1694621.671828314,1919.4002228107,31078436.23876471,214693.81037686465,483633622.40387654
37,0.001234567863382879,0.9987654321366172,9803264.489421904,12102.795294882852,1612006.0015184407,1895.362671480952,29383814.566936396,212774.41015405397,452555186.16511184
38,0.001165468096401306,0.9988345319035987,9791161.694127021,11411.286581211605,1533348.4482984627,1701.9701877698146,27771808.565417957,210879.04748257302,423171371.59817547
