Edad,qx,origen,px,lx,dx,Lx,Tx,ex,qx_ref,ex_ref,dif_qx_pct,dif_ex_pct
0,2.2550909332821295e-4,Oppermann,0.9997744909066718,10000000,2255.0909332821298,9998872.454533359,778258247.4288929,77.82582474288928,0.01080429,52.761753511940256,-97.91278192895402,47.50424230172126
1,1.8729558534106777e-4,Oppermann,0.999812704414659,9997744.909066718,1872.5334848343314,9996808.642324302,768259374.9743595,76.84326635275954,0.00440199,52.33257194063272,-95.74520647840936,46.83640322499785
2,1.5740387043954184e-4,Oppermann,0.9998425961295605,9995872.375581885,1573.3890003362862,9995085.681081716,758262566.3320352,75.85756778811363,0.00454767,51.56174723132755,-96.53880183831409,47.11985505026598
3,1.358339486236351e-4,Oppermann,0.9998641660513764,9994298.986581547,1357.5650950725662,9993620.204034012,748267480.6509535,74.8694312283018,0.00471059,50.795020055181894,-97.11641325983294,47.395219348208414
4,1.2258581989334758e-4,Oppermann,0.9998774141801067,9992941.421486476,1224.992917299114,9992328.925027827,738273860.4469194,73.87953449416891,0.00484162,50.033060585043195,-97.46808258613135,47.66143352072758
5,1.1765948424867932e-4,Oppermann,0.9998823405157513,9991716.428569177,1175.6202017445055,9991128.618468305,728281531.5218916,72.8885308873985,0.00504765,49.27404760942997,-97.66902451143245,47.924788856698754
6,1.2105494168963024e-4,Oppermann,0.9998789450583103,9990540.808367433,1209.404335004791,9989936.106199931,718290402.9034233,71.89704908685519,0.00524207,48.52149093816399,-97.69070344940775,48.17567988271654
7,1.3277219221620042e-4,Oppermann,0.9998672278077838,9989331.404032428,1326.3054292875206,9988668.251317784,708300466.7972234,70.90569309886959,0.00543836,47.774549505892345,-97.55859869121942,48.41729295662815
8,1.5281123582838976e-4,Oppermann,0.9998471887641716,9988005.09860314,1526.279402577804,9987241.958901852,698311798.5459056,69.91504225839523,0.00563282,47.03305135103777,-97.28712730340415,48.65087475735843
9,1.811720725261983e-4,Oppermann,0.9998188279274738,9986478.819200562,1809.2710649135474,9985574.183668105,688324556.5870038,68.92565127796522,0.0058262,46.2966484483506,-96.89039043413892,48.87827432013777
