Edad,qx,origen,px,lx,dx,Lx,Tx,ex
0,2.2550909332821295e-4,Oppermann,0.9997744909066718,10000000,2255.0909332821298,9998872.454533359,778258247.4288929,77.82582474288928
1,1.8729558534106777e-4,Oppermann,0.999812704414659,9997744.909066718,1872.5334848343314,9996808.642324302,768259374.9743595,76.84326635275954
2,1.5740387043954184e-4,Oppermann,0.9998425961295605,9995872.375581885,1573.3890003362862,9995085.681081716,758262566.3320352,75.85756778811363
3,1.358339486236351e-4,Oppermann,0.9998641660513764,9994298.986581547,1357.5650950725662,9993620.204034012,748267480.6509535,74.8694312283018
4,1.2258581989334758e-4,Oppermann,0.9998774141801067,9992941.421486476,1224.992917299114,9992328.925027827,738273860.4469194,73.87953449416891
5,1.1765948424867932e-4,Oppermann,0.9998823405157513,9991716.428569177,1175.6202017445055,9991128.618468305,728281531.5218916,72.8885308873985
6,1.2105494168963024e-4,Oppermann,0.9998789450583103,9990540.808367433,1209.404335004791,9989936.106199931,718290402.9034233,71.89704908685519
7,1.3277219221620042e-4,Oppermann,0.9998672278077838,9989331.404032428,1326.3054292875206,9988668.251317784,708300466.7972234,70.90569309886959
8,1.5281123582838976e-4,Oppermann,0.9998471887641716,9988005.09860314,1526.279402577804,9987241.958901852,698311798.5459056,69.91504225839523
9,1.811720725261983e-4,Oppermann,0.9998188279274738,9986478.819200562,1809.2710649135474,9985574.183668105,688324556.5870038,68.92565127796522
10,2.1785470230962616e-4,HP_Cabeza,0.9997821452976904,9984669.548135648,2175.207212069081,9983581.944529613,678338982.4033357,67.93805034138522
11,2.362400043879382e-4,HP_Cabeza,0.9997637599956121,9982494.34092358,2358.2645069023547,9981315.208670128,668355400.458806,66.95274523911925
12,2.5617688799709263e-4,HP_Cabeza,0.9997438231120029,9980136.076416677,2556.6802018439384,9978857.736315755,658374085.2501359,65.96844774550631
13,2.7779629497511835e-4,HP_Cabeza,0.9997222037050248,9977579.396214833,2771.734589088559,9976193.52892029,648395227.5138202,64.98522354628419
14,3.012402176685775e-4,HP_Cabeza,0.9996987597823315,9974807.661625745,3004.8132311903337,9973305.25501015,638419033.9848999,64.00314228022388
15,3.266626315125615e-4,HP_Cabeza,0.9996733373684874,9971802.848394554,3257.4153593810215,9970174.140714863,628445728.7298898,63.0222777449986
16,3.542305063134416e-4,HP_Cabeza,0.9996457694936866,9968545.433035173,3531.162895952595,9966779.851587195,618475554.5891749,62.04270811061193
17,3.841249028762936e-4,HP_Cabeza,0.9996158750971237,9965014.27013922,3827.8101386781073,9963100.365069881,608508774.7375877,61.06451614033527
18,4.165421621794492e-4,HP_Cabeza,0.9995834578378205,9961186.460000541,4149.254145921279,9959111.83292758,598545674.3725178,60.087789419061366
19,4.516951949064551e-4,HP_Cabeza,0.9995483048050935,9957037.20585462,4497.545861389328,9954788.432923924,588586562.5395902,59.112620588934654
20,9.104738868681976e-4,Graduación,0.9990895261131318,9952539.65999323,9061.527468443925,9948008.896259008,578631774.1066663,58.13910759206761
21,0.0010228133852227838,Graduación,0.9989771866147772,9943478.132524787,10170.322529616402,9938392.971259978,568683765.2104073,57.19163431860544
