Edad,qx_ref,lx_ref,dx_ref,ex_ref
0,0.01080429,10000000,108042.9,52.761753511940256
1,0.00440199,9891957.1,43544.29623462899,52.33257194063272
2,0.00454767,9848412.803765371,44787.33145529967,51.56174723132755
3,0.00471059,9803625.472310072,46180.8601136091,50.795020055181894
4,0.00484162,9757444.612196462,47241.83898330263,50.033060585043195
5,0.00504765,9710202.77321316,49013.7050282094,49.27404760942997
6,0.00524207,9661189.06818495,50644.62937866028,48.52149093816399
7,0.00543836,9610544.43880629,52265.60045422657,47.774549505892345
8,0.00563282,9558278.838352064,53840.06420624627,47.03305135103777
9,0.0058262,9504438.774145817,55374.761185928364,46.2966484483506
10,0.00613027,9449064.012959888,57925.31364672761,45.565032540940635
11,0.00634584,9391138.69931316,59594.663603649424,44.84299735735049
12,0.00658733,9331544.03570951,61469.95997275032,44.126188006248064
13,0.00686127,9270074.07573676,63604.48115363035,43.415473723772884
14,0.00715908,9206469.59458313,65909.85234518819,42.711962666860124
15,0.00812627,9140559.742237942,74278.65641655592,42.01634055016601
16,0.00845708,9066281.085821386,76674.26444527834,41.35647758829746
17,0.00878197,8989606.821376108,78946.45741712034,40.704951156625135
18,0.0090946,8910660.363958986,81038.89174606139,40.0611580296064
19,0.00939622,8829621.472212926,82965.06586963654,39.42425314223376
20,0.00954636,8746656.406343289,83498.73085125932,38.79346316671007
21,0.00984314,8663157.67549203,85272.67384194263,38.16254978548018
22,0.0101216,8577885.001650088,86821.92083270152,37.53695283743242
23,0.01037641,8491063.080817387,88106.75186242434,36.91565917332111
24,0.01061386,8402956.328954963,89187.80206164192,36.297484964279306
25,0.01071761,8313768.526893321,89103.72870151713,35.68151045079255
26,0.01094971,8224664.7981918035,90057.69438740877,35.062657140589096
27,0.01118516,8134607.103804395,90986.88199318876,34.44529801976914
28,0.01142773,8043620.221811206,91920.32011739857,33.82927646976773
29,0.01167715,7951699.901693808,92853.19250706385,33.21455732798142
30,0.01183078,7858846.709186744,92976.28647011235,32.60108364688868
31,0.01217004,7765870.422716632,94510.95367927832,31.985411402399972
32,0.01242405,7671359.469037353,95309.35361129353,31.37331087062795
33,0.01260603,7576050.11542606,95503.91503656437,30.76170789257064
34,0.01274172,7480546.200389495,95315.02513242683,30.1480582341116
35,0.0128699,7385231.175257069,95047.18670244096,29.530701017885203
36,0.01313684,7290183.988554629,95769.980628204,28.909194409009718
37,0.01348688,7194414.007926424,97030.19839522273,28.28736947583464
38,0.01392834,7097383.809531202,98854.77480964582,27.66725790310284
39,0.01446344,6998529.034721556,101222.80478195313,27.050997564520653
40,0.01491453,6897306.229939603,102870.08068562111,26.440652069285644
41,0.01560964,6794436.149253982,106058.70229284093,25.833402389221764
42,0.01637149,6688377.446961141,109498.70448914985,25.235118321579016
43,0.01718933,6578878.742471991,113086.51773433607,24.646809054547447
44,0.01805512,6465792.224737655,116740.65451270534,24.069136041784574
45,0.01883983,6349051.57022495,119615.05224427111,23.50250413422857
46,0.01978603,6229436.517980679,123255.81782786125,22.944188663129864
47,0.02077704,6106180.700152817,126868.36065430309,22.397234022414374
48,0.02181627,5979312.339498514,130446.29241283124,21.861847012262025
49,0.02290607,5848866.047085683,133974.53509516796,21.33827675426786
50,0.02419355,5714891.511990515,138263.51353991812,20.82678969182406
51,0.02537782,5576627.998450597,141522.66155163952,20.33075971861434
52,0.02658361,5435105.336898957,144484.7205850405,19.847125404651
53,0.02778798,5290620.616313917,147015.6598737188,19.375487615994423
54,0.02896646,5143604.956440197,148992.02722652673,18.914990997534083
55,0.03023407,4994612.92921367,151007.47692475113,18.46432022063222
56,0.03130672,4843605.452288919,151637.39968528255,18.024387859895448
57,0.03230843,4691968.052603637,151590.12138978092,17.59074990165664
58,0.033239,4540377.931213856,150917.62205561734,17.161360738790606
59,0.03410416,4389460.309158239,149698.85669718205,16.734208598392573
60,0.03568219,4239761.452461056,151283.9737013914,16.307411240525248
61,0.03646622,4088477.478759665,149091.31920549527,15.892325306659272
62,0.03722138,3939386.15955417,146629.38921150638,15.47486837115277
63,0.03796311,3792756.770342664,143984.8424757633,15.053802359209815
64,0.03870763,3648771.927866901,141235.31373825867,14.62811256043395
65,0.04007493,3507536.6141286422,140564.28428364237,14.196998542112581
66,0.0408964,3366972.329845,137697.04719027306,13.768820525869359
67,0.04178883,3229275.282654727,134947.63581006034,13.33460611123695
68,0.04278337,3094327.6468446665,132385.7646161847,12.894339904466936
69,0.04391568,2961941.8822284816,130075.69187854369,12.44831234228237
70,0.04529994,2831866.190349938,128283.36851088075,11.997132410122958
71,0.04683533,2703582.821839057,126623.19364316344,11.542664384165807
72,0.04864091,2576959.6281958935,125345.66134870992,11.085264049039719
73,0.05076533,2451613.9668471836,124456.99205960633,10.626465453795912
74,0.0532563,2327156.9747875775,123935.76999637966,10.16803159833586
75,0.05714919,2203221.2047911976,125912.30724464107,9.711878461230702
76,0.06055723,2077308.8975465565,125796.07268977325,9.270239748991361
77,0.06444797,1951512.8248567833,125771.03999098521,8.835576395985635
78,0.06883571,1825741.784865798,125676.23203790445,8.409794569079857
79,0.07371979,1700065.5528278935,125328.4755407062,7.9945209497669385
80,0.08005169,1574737.0772871873,126060.36434249995,7.590986797361177
81,0.08593481,1448676.7129446873,124491.75807832625,7.208027418802668
82,0.09222398,1324184.954866361,122121.60679389618,6.838675066274724
83,0.09885844,1202063.348072465,118834.1073716209,6.482642112836075
84,0.10576601,1083229.2407008442,114568.83470425788,6.138959269436064
85,0.11424258,968660.4059965863,110662.26392489749,5.805910234340415
86,0.121534,857998.1420716888,104275.94619854062,5.490252087688314
87,0.12964852,753722.1958731482,97718.96718610376,5.1806434030324615
88,0.13990696,656003.2286870445,91779.41747578917,4.8778772261436965
89,0.15006501,564223.8112112553,84670.25187165513,4.590004246684402
90,0.16293381,479553.5593396001,78135.48852226214,4.3121377455991095
91,0.17478192,401418.070817338,70160.62114015031,4.054165239428808
92,0.18747762,331257.4496771877,62103.35827274893,3.806940584031808
93,0.20106321,269154.0914044388,54116.98560240987,3.569968613088304
94,0.21557974,215037.1058020289,46357.64335915388,3.3425675867152194
95,0.23386842,168679.46244287502,39448.79936796452,3.123781449391962
96,0.25056103,129230.66307491051,32380.168047632545,2.924713871463126
97,0.26830449,96850.49502727795,25985.422674541347,2.7353720163005746
98,0.28712621,70865.0723527366,20347.219646017045,2.5550577197071696
99,0.30704706,50517.85270671956,15511.358151111282,2.382779179898267
100,0.3320466,35006.49455560828,11623.787495108241,2.21703758107768
101,0.35446258,23382.70706050004,8288.294672049062,2.070594866464756
102,0.37799926,15094.412388450979,5705.676712969303,1.933003599488867
103,0.40263525,9388.735675481677,3780.2359358814842,1.8038615669313622
104,0.42833402,5608.499739600194,2402.311239631904,1.6826891642524306
105,0.45504205,3206.1884999682898,1458.9505877119955,1.5688465041289152
106,0.48268701,1747.2379122562943,843.3690436256331,1.461337574998062
107,0.51117625,903.8688686306612,462.036298758364,1.3583286976769362
108,0.54039544,441.83256987229714,238.76430600247073,1.2559062907171268
109,0.57020773,203.0682638698264,115.79109377625474,1.144688405
110,1,87.27717009357167,87.27717009357167,1
