"Edad","Dx_obt","Dx_ref","dif_Dx_pct","Nx_obt","Nx_ref","dif_Nx_pct"
0,1e+07,1e+07,0,202958721.9448,177908963.4897,14.08
1,9521661.8182,9420911.5238,1.07,192958721.9448,167908963.4897,14.92
2,9066550.9076,8932800.729,1.5,183437060.1266,158488051.9659,15.74
3,8633451.2356,8468740.2849,1.94,174370509.2191,149555251.2368,16.59
4,8221217.6379,8027473.8301,2.41,165737057.9835,141086510.9519,17.47
5,7828771.2697,7608197.9545,2.9,157515840.3456,133059037.1218,18.38
6,7455095.3719,7209328.0325,3.41,149687069.0759,125450839.1673,19.32
7,7099231.3293,6830034.505,3.94,142231973.7039,118241511.1348,20.29
8,6760274.9989,6469419.351,4.5,135132742.3746,111411476.6297,21.29
9,6437373.2885,6126645.9775,5.07,128372467.3757,104942057.2787,22.33
10,6129720.9678,5800905.6311,5.67,121935094.0873,98815411.3012,23.4
11,5836557.6946,5490804.2984,6.3,115805373.1194,93014505.6701,24.5
12,5557313.2059,5196152.8885,6.95,109968815.4249,87523701.3717,25.64
13,5291323.3816,4916118.2044,7.63,104411502.219,82327548.4832,26.82
14,5037955.6872,4649892.7525,8.35,99120178.8375,77411430.2788,28.04
15,4796607.6689,4396765.5221,9.09,94082223.1503,72761537.5264,29.3
16,4566705.5204,4153367.827,9.95,89285615.4814,68364772.0042,30.6
17,4347702.7181,3922135.6791,10.85,84718909.961,64211404.1772,31.94
18,4139078.7211,3702563.4297,11.79,80371207.243,60289268.4981,33.31
19,3940337.7336,3494181.0442,12.77,76232128.5219,56586705.0684,34.72
20,3751007.5257,3296522.8099,13.79,72291790.7882,53092524.0242,36.16
21,3569135.5536,3109574.3013,14.78,68540783.2625,49796001.2144,37.64
22,3395699.9943,2932348.882,15.8,64971647.7089,46686426.9131,39.17
23,3230505.0031,2764446.4948,16.86,61575947.7145,43754078.0311,40.73
24,3073187.7094,2605487.1091,17.95,58345442.7114,40989631.5362,42.34
25,2923431.7739,2455078.8892,19.08,55272255.002,38384144.4271,44
26,2780823.8683,2313110.7726,20.22,52348823.2281,35929065.5379,45.7
27,2644983.0873,2178840.8385,21.39,49567999.3599,33615954.7653,47.45
28,2515592.1132,2051876.3382,22.6,46923016.2726,31437113.9268,49.26
29,2392291.9607,1931836.2375,23.84,44407424.1594,29385237.5886,51.12
30,2274777.0614,1818359.9009,25.1,42015132.1987,27453401.3511,53.04
31,2162896.3638,1711283.1286,26.39,39740355.1374,25635041.4502,55.02
32,2056417.9831,1609958.8042,27.73,37577458.7735,23923758.3216,57.07
33,1955064.3903,1514244.3767,29.11,35521040.7904,22313799.5174,59.19
34,1858512.71,1423957.873,30.52,33565976.4001,20799555.1407,61.38
35,1766578.2593,1338870.6672,31.95,31707463.6901,19375597.2676,63.65
36,1679002.2612,1258704.3196,33.39,29940885.4308,18036726.6005,66
37,1595500.9171,1183018.0213,34.87,28261883.1696,16778022.2809,68.45
38,1515987.079,1111488.3802,36.39,26666382.2525,15595004.2596,70.99
39,1440308.6288,1043816.3734,37.98,25150395.1735,14483515.8795,73.65
40,1368212.0226,979732.5695,39.65,23710086.5447,13439699.506,76.42
41,1299624.0058,919162.2083,41.39,22341874.5221,12459966.9366,79.31
42,1234439.0673,861728.0163,43.25,21042250.5163,11540804.7283,82.33
43,1172419.2945,807257.3759,45.23,19807811.449,10679076.7121,85.48
44,1113346.6905,755601.1071,47.35,18635392.1545,9871819.3362,88.77
45,1057107.5407,706627.2747,49.6,17522045.464,9116218.2291,92.21
46,1003565.7661,660299.559,51.99,16464937.9233,8409590.9544,95.79
47,952550.5936,616414.1449,54.53,15461372.1572,7749291.3954,99.52
48,903958.5308,574863.6986,57.25,14508821.5636,7132877.2505,103.41
49,857734.5687,535545.0638,60.16,13604863.0329,6558013.5519,107.45
50,813810.55,498359.8391,63.3,12747128.4642,6022468.4881,111.66
51,772039.8977,463145.4718,66.69,11933317.9142,5524108.649,116.02
52,732355.7098,429896.9994,70.36,11161278.0165,5060963.1772,120.54
53,694581.5141,398541.7002,74.28,10428922.3067,4631066.1778,125.19
54,658606.3661,369016.2204,78.48,9734340.7926,4232524.4776,129.99
55,624291.9557,341263.9303,82.94,9075734.4265,3863508.2571,134.91
56,591619.9295,315186.7931,87.7,8451442.4708,3522244.3268,139.94
57,560525.8002,290780.3128,92.77,7859822.5413,3207057.5337,145.08
58,530922.4475,267986.3404,98.12,7299296.7411,2916277.2209,150.3
59,502660.6796,246741.6594,103.72,6768374.2935,2648290.8805,155.58
60,475648.3209,226977.8499,109.56,6265713.614,2401549.2211,160.9
61,449763.8543,208455.984,115.76,5790065.2931,2174571.3712,166.26
62,425003.5788,191289.8878,122.18,5340301.4388,1966115.3872,171.62
63,401328.0945,175399.823,128.81,4915297.8601,1774825.4994,176.95
64,378544.8111,160705.8098,135.55,4513969.7656,1599425.6764,182.22
65,356307.6282,147128.8274,142.17,4135424.9545,1438719.8666,187.44
66,334330.3911,134507.2856,148.56,3779117.3263,1291591.0392,192.59
67,312783.3644,122863.2589,154.58,3444786.9352,1157083.7536,197.71
68,291911.6581,112122.8068,160.35,3132003.5708,1034220.4947,202.84
69,271842.2518,102215.0621,165.95,2840091.9127,922097.6879,208
70,252633.1822,93072.5887,171.44,2568249.661,819882.6258,213.25
71,234286.6493,84625.1486,176.85,2315616.4787,726810.0371,218.6
72,216857.6804,76820.6684,182.29,2081329.8294,642184.8884,224.1
73,200370.4571,69603.8488,187.87,1864472.149,565364.22,229.78
74,184794.6134,62924.1775,193.68,1664101.6919,495760.3712,235.67
75,170075.642,56736.2559,199.77,1479307.0785,432836.1937,241.77
76,156159.3647,50946.4998,206.52,1309231.4365,376099.9378,248.11
77,142930.3515,45582.2104,213.57,1153072.0718,325153.438,254.62
78,130326.8548,40613.8376,220.89,1010141.7203,279571.2276,261.32
79,118327.2442,36017.2907,228.53,879814.8655,238957.39,268.19
80,106918.5179,31773.432,236.5,761487.6213,202940.0993,275.23
81,96086.5035,27838.0143,245.16,654569.1034,171166.6673,282.42
82,85809.6166,24234.057,254.09,558482.5999,143328.653,289.65
83,76057.904,20951.5198,263.02,472672.9833,119094.596,296.89
84,66828.4202,17981.2241,271.66,396615.0794,98143.0761,304.12
85,58132.9328,15313.735,279.61,329786.6591,80161.8521,311.4
86,50111.9369,12918.3375,287.91,271653.7263,64848.1171,318.91
87,42815.523,10807.9241,296.15,221541.7894,51929.7795,326.62
88,36227.44,8958.755,304.38,178726.2664,41121.8554,334.63
89,30328.2265,7338.4408,313.28,142498.8264,32163.1005,343.05
90,25094.7301,5940.1882,322.46,112170.5999,24824.6597,351.85
91,20499.7309,4735.553,332.89,87075.8698,18884.4715,361.1
92,16511.7084,3721.7752,343.65,66576.1389,14148.9185,370.54
93,13094.7874,2880.0244,354.68,50064.4304,10427.1433,380.14
94,10208.8964,2191.3881,365.86,36969.643,7547.1189,389.85
95,7810.1647,1637.1135,377.07,26760.7466,5355.7308,399.67
96,5851.5674,1194.5184,389.87,18950.5819,3718.6173,409.61
97,4283.8138,852.5892,402.45,13099.0145,2524.0988,418.96
98,3056.4495,594.1292,414.44,8815.2007,1671.5096,427.38
99,2119.1194,403.3706,425.35,5758.7512,1077.3804,434.51
100,1422.9144,266.2065,434.52,3639.6318,674.0097,440
101,921.7039,169.3462,444.27,2216.7174,407.8032,443.58
102,573.3458,104.1137,450.69,1295.0135,238.4569,443.08
103,340.6662,61.675,452.36,721.6677,134.3433,437.18
104,192.1161,35.0881,447.53,381.0015,72.6683,424.3
105,102.0446,19.1035,434.17,188.8854,37.5802,402.62
106,50.5746,9.9149,410.09,86.8408,18.4767,370
107,23.1159,4.8848,373.22,36.2662,8.5618,323.58
108,9.5992,2.2741,322.11,13.1503,3.677,257.64
109,3.5511,0.9954,256.74,3.5511,1.4029,153.13
