"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","Rx"
0,0.000225509093328213,0.999774490906672,1e+07,2255.09093328213,1e+07,2147.705651,202958721.9448,335297.815883,3856189396.6708
1,0.000187295585341068,0.999812704414659,9997744.90906672,1872.53348483433,9521661.8182,1698.44307,192958721.9448,333150.110232,3653230674.726
2,0.000157403870439542,0.999842596129561,9995872.37558188,1573.38900033629,9066550.9076,1359.152576,183437060.1266,331451.667162,3460271952.7812
3,0.000135833948623635,0.999864166051376,9994298.98658155,1357.56509507257,8633451.2356,1116.872163,174370509.2191,330092.514587,3276834892.6546
4,0.000122585819893348,0.999877414180107,9992941.42148648,1224.99291729911,8221217.6379,959.814004,165737057.9835,328975.642423,3102464383.4355
5,0.000117659484248679,0.999882340515751,9991716.42856918,1175.62020174451,7828771.2697,877.265895,157515840.3456,328015.828419,2936727325.452
6,0.00012105494168963,0.99987894505831,9990540.80836743,1209.40433500479,7455095.3719,859.501081,149687069.0759,327138.562524,2779211485.1064
7,0.0001327721922162,0.999867227807784,9989331.40403243,1326.30542928752,7099231.3293,897.695721,142231973.7039,326279.061442,2629524416.0305
8,0.00015281123582839,0.999847188764172,9988005.09860314,1526.2794025778,6760274.9989,983.853312,135132742.3746,325381.365722,2487292442.3266
9,0.000181172072526198,0.999818827927474,9986478.81920056,1809.27106491355,6437373.2885,1110.735486,128372467.3757,324397.51241,2352159699.952
10,0.000217854702309626,0.99978214529769,9984669.54813565,2175.20721206908,6129720.9678,1271.798606,121935094.0873,323286.776924,2223787232.5762
11,0.000236240004387938,0.999763759995612,9982494.34092358,2358.26450690235,5836557.6946,1313.169919,115805373.1194,322014.978318,2101852138.489
12,0.000256176887997093,0.999743823112003,9980136.07641668,2556.68020184394,5557313.2059,1355.862098,109968815.4249,320701.808398,1986046765.3695
13,0.000277796294975118,0.999722203705025,9977579.39621483,2771.73458908856,5291323.3816,1399.914315,104411502.219,319345.9463,1876077949.9446
14,0.000301240217668577,0.999698759782331,9974807.66162574,3004.81323119033,5037955.6872,1445.366541,99120178.8375,317946.031985,1771666447.7256
15,0.000326662631512562,0.999673337368487,9971802.84839455,3257.41535938102,4796607.6689,1492.259508,94082223.1503,316500.665445,1672546268.8882
16,0.000354230506313442,0.999645769493687,9968545.43303517,3531.1628959526,4566705.5204,1540.634675,89285615.4814,315008.405936,1578464045.7379
17,0.000384124902876294,0.999615875097124,9965014.27013922,3827.81013867811,4347702.7181,1590.534176,84718909.961,313467.771262,1489178430.2565
18,0.000416542162179449,0.999583457837821,9961186.46000054,4149.25414592128,4139078.7211,1642.000762,80371207.243,311877.237086,1404459520.2954
19,0.000451695194906455,0.999548304805093,9957037.20585462,4497.54586138933,3940337.7336,1695.077734,76232128.5219,310235.236324,1324088313.0525
