"Edad","qx","lx","dx","Dx","Nx","Cx","Mx","Rx"
0,0.01080429,1e+07,108042.9,1e+07,177908963.4897,102898,1528144.59573,2917168909.8283
1,0.00440199,9891957.1,43544.296234629,9420911.5238,167908963.4897,39495.960304,1425246.59573,2739259946.3386
2,0.00454767,9848412.80376537,44787.3314552997,8932800.729,158488051.9659,38688.980849,1385750.635427,2571350982.849
3,0.00471059,9803625.47231007,46180.8601136091,8468740.2849,149555251.2368,37993.107903,1347061.654578,2412862930.8831
4,0.00484162,9757444.61219646,47241.8389833026,8027473.8301,141086510.9519,37015.216996,1309068.546675,2263307679.6463
5,0.00504765,9710202.77321316,49013.7050282094,7608197.9545,133059037.1218,36574.781338,1272053.329679,2122221168.6944
6,0.00524207,9661189.06818495,50644.6293786603,7209328.0325,125450839.1673,35992.192571,1235478.548341,1989162131.5726
7,0.00543836,9610544.43880629,52265.6004542266,6830034.505,118241511.1348,35375.415667,1199486.35577,1863711292.4053
8,0.00563282,9558278.83835206,53840.0642062463,6469419.351,111411476.6297,34705.785437,1164110.940102,1745469781.2705
9,0.0058262,9504438.77414582,55374.7611859284,6126645.9775,104942057.2787,33995.299804,1129405.154665,1634058304.6408
10,0.00613027,9449064.01295989,57925.3136467276,5800905.6311,98815411.3012,33867.731203,1095409.854862,1529116247.3621
11,0.00634584,9391138.69931316,59594.6636036494,5490804.2984,93014505.6701,33184.538618,1061542.123659,1430300836.0608
12,0.00658733,9331544.03570951,61469.9599727503,5196152.8885,87523701.3717,32598.832197,1028357.58504,1337286330.3907
13,0.00686127,9270074.07573676,63604.4811536304,4916118.2044,82327548.4832,32124.585098,995758.752844,1249762629.019
14,0.00715908,9206469.59458313,65909.8523451882,4649892.7525,77411430.2788,31703.765911,963634.167746,1167435080.5358
15,0.00812627,9140559.74223794,74278.6564165559,4396765.5221,72761537.5264,34027.908342,931930.401835,1090023650.2569
16,0.00845708,9066281.08582139,76674.2644452783,4153367.827,68364772.0042,33452.727602,897902.493493,1017262112.7306
17,0.00878197,8989606.82137611,78946.4574171203,3922135.6791,64211404.1772,32803.883685,864449.76589,948897340.7263
18,0.0090946,8910660.36395899,81038.8917460614,3702563.4297,60289268.4981,32069.841303,831645.882205,884685936.5491
19,0.00939622,8829621.47221293,82965.0658696365,3494181.0442,56586705.0684,31268.660772,799576.040902,824396668.051
20,0.00954636,8746656.40634329,83498.7308512593,3296522.8099,53092524.0242,29971.231896,768307.38013,767809962.9827
21,0.00984314,8663157.67549203,85272.6738419426,3109574.3013,49796001.2144,29150.45256,738336.148234,714717438.9584
22,0.0101216,8577885.00165009,86821.9208327015,2932348.882,46686426.9131,28266.726137,709185.695673,664921437.7441
23,0.01037641,8491063.08081739,88106.7518624243,2764446.4948,43754078.0311,27319.076432,680918.969536,618235010.831
24,0.01061386,8402956.32895496,89187.8020616419,2605487.1091,40989631.5362,26337.40515,653599.893104,574480932.8
25,0.01071761,8313768.52689332,89103.7287015171,2455078.8892,38384144.4271,25059.598147,627262.487954,533491301.2637
26,0.01094971,8224664.7981918,90057.6943874088,2313110.7726,35929065.5379,24121.802055,602202.889807,495107156.8366
27,0.01118516,8134607.10380439,90986.8819931888,2178840.8385,33615954.7653,23210.17466,578081.087752,459178091.2987
28,0.01142773,8043620.22181121,91920.3201173986,2051876.3382,31437113.9268,22331.703606,554870.913093,425562136.5334
29,0.01167715,7951699.90169381,92853.1925070639,1931836.2375,29385237.5886,21484.134782,532539.209487,394125022.6066
30,0.01183078,7858846.70918674,92976.2864701123,1818359.9009,27453401.3511,20488.205666,511055.074705,364739785.018
31,0.01217004,7765870.42271663,94510.9536792783,1711283.1286,25635041.4502,19834.651549,490566.869039,337286383.6668
32,0.01242405,7671359.46903735,95309.3536112935,1609958.8042,23923758.3216,19049.722554,470732.217491,311651342.2167
33,0.01260603,7576050.11542606,95503.9150365644,1514244.3767,22313799.5174,18179.62861,451682.494937,287727583.895
34,0.01274172,7480546.2003895,95315.0251324268,1423957.873,20799555.1407,17279.688105,433502.866327,265413784.3777
35,0.0128699,7385231.17525707,95047.186702441,1338870.6672,19375597.2676,16410.601523,416223.178222,244614229.237
36,0.01313684,7290183.98855463,95769.980628204,1258704.3196,18036726.6005,15747.997384,399812.576699,225238631.9694
37,0.01348688,7194414.00792642,97030.1983952227,1183018.0213,16778022.2809,15195.44961,384064.579315,207201905.3689
38,0.01392834,7097383.8095312,98854.7748096458,1111488.3802,15595004.2596,14743.988633,368869.129705,190423883.088
39,0.01446344,6998529.03472156,101222.804781953,1043816.3734,14483515.8795,14378.26237,354125.141071,174828878.8284
40,0.01491453,6897306.2299396,102870.080685621,979732.5695,13439699.506,13916.429333,339746.878702,160345362.9489
41,0.01560964,6794436.14925398,106058.702292841,919162.2083,12459966.9366,13664.563021,325830.449369,146905663.4429
42,0.01637149,6688377.44696114,109498.70448915,861728.0163,11540804.7283,13435.972953,312165.886348,134445696.5063
43,0.01718933,6578878.74247199,113086.517734336,807257.3759,10679076.7121,13215.441361,298729.913394,122904891.7779
44,0.01805512,6465792.22473766,116740.654512705,755601.1071,9871819.3362,12992.827296,285514.472034,112225815.0659
45,0.01883983,6349051.57022495,119615.052244271,706627.2747,9116218.2291,12678.797837,272521.644738,102353995.7297
46,0.01978603,6229436.51798068,123255.817827861,660299.559,8409590.9544,12442.577984,259842.846901,93237777.5006
47,0.02077704,6106180.70015282,126868.360654303,616414.1449,7749291.3954,12197.391757,247400.268916,84828186.5462
48,0.02181627,5979312.33949851,130446.292412831,574863.6986,7132877.2505,11944.173012,235202.877159,77078895.1508
49,0.02290607,5848866.04708568,133974.535095168,535545.0638,6558013.5519,11683.07878,223258.704148,69946017.9003
50,0.02419355,5714891.51199051,138263.513539918,498359.8391,6022468.4881,11482.946367,211575.625368,63388004.3484
51,0.02537782,5576627.9984506,141522.66155164,463145.4718,5524108.649,11193.926112,200092.679002,57365535.8603
52,0.02658361,5435105.33689896,144484.72058504,429896.9994,5060963.1772,10884.013498,188898.75289,51841427.2113
53,0.02778798,5290620.61631392,147015.659873719,398541.7002,4631066.1778,10547.303615,178014.739392,46780464.0341
54,0.02896646,5143604.9564402,148992.027226527,369016.2204,4232524.4776,10180.089132,167467.435777,42149397.8563
55,0.03023407,4994612.92921367,151007.476924751,341263.9303,3863508.2571,9826.473865,157287.346645,37916873.3787
56,0.03130672,4843605.45228892,151637.399685283,315186.7931,3522244.3268,9397.585409,147460.872781,34053365.1216
57,0.03230843,4691968.05260364,151590.121389781,290780.3128,3207057.5337,8947.290839,138063.287372,30531120.7947
58,0.033239,4540377.93121386,150917.622055617,267986.3404,2916277.2209,8483.426636,129115.996533,27324063.261
59,0.03410416,4389460.30915824,149698.856697182,246741.6594,2648290.8805,8014.206698,120632.569896,24407786.0401
60,0.03568219,4239761.45246106,151283.973701391,226977.8499,2401549.2211,7713.396921,112618.363199,21759495.1596
61,0.03646622,4088477.47875967,149091.319205495,208455.984,2174571.3712,7239.620734,104904.966278,19357945.9385
62,0.03722138,3939386.15955417,146629.389211506,191289.8878,1966115.3872,6781.02248,97665.345544,17183374.5673
63,0.03796311,3792756.77034266,143984.842475763,175399.823,1774825.4994,6341.640739,90884.323064,15217259.1801
64,0.03870763,3648771.9278669,141235.313738259,160705.8098,1599425.6764,5924.324784,84542.682325,13442433.6806
65,0.04007493,3507536.61412864,140564.284283642,147128.8274,1438719.8666,5615.407103,78618.357541,11843008.0043
