"Producto","Edad","Valor_obt","Valor_ref","Dif_pct"
"Dotal puro",38,0.166646,0.083737,99.01
"Dotal puro",54,0.383588,0.252218,52.09
"Dotal puro",62,0.594426,0.486553,22.17
"Renta vitalicia vencida",45,15.575462,11.901028,30.87
"Renta vitalicia vencida",60,12.172996,9.580544,27.06
"Renta vitalicia vencida",90,3.469887,3.179103,9.15
"Renta diferida anticipada",25,0.506017,0.176302,187.02
"Renta diferida anticipada",40,1.081197,0.44179,144.73
"Renta diferida anticipada",70,5.855553,4.650523,25.91
"Renta temporal vencida",25,17.68273,14.564868,21.41
"Renta temporal vencida",50,13.859182,10.741118,29.03
"Renta temporal vencida",75,3.849242,3.612034,6.57
"Renta temp. dif. anticipada",32,0.76209,0.384381,98.26
"Renta temp. dif. anticipada",50,1.925725,1.241748,55.08
"Renta temp. dif. anticipada",68,1.931248,1.911635,1.03
