"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","ex"
0,1.46150151555832e-08,0.999999985384985,1e+07,0.146150151555832,1e+07,0.139190620529364,208900072.08533,52377.5197461663,20.390007208533
1,9.63673585374636e-14,0.999999999999904,9999999.85384985,9.63673571290532e-07,9523809.3846189,8.74080336771457e-07,198900072.08533,52377.3805555457,20.3845078741871
2,3.21681820454928e-09,0.999999996783182,9999999.85384888,0.0321681815753512,9070294.65201713,0.0277880847211759,189376262.700711,52377.3805546717,20.3787332678984
3,1.91402302918229e-09,0.999999998085977,9999999.8216807,0.0191402299505157,8638375.83127584,0.015746714548375,180305968.048694,52377.3527665869,20.372669998437
4,1.31325601254545e-09,0.999999998686744,9999999.80254047,0.0131325598661396,8227024.58546838,0.0102897042878339,171667592.217418,52377.3370198724,20.3663035382974
5,1.01658636241607e-09,0.999999998983414,9999999.78940791,0.0101658634100756,7835261.49968018,0.00758592379670335,163440567.63195,52377.3267301681,20.3596187426063
6,8.77900445340764e-10,0.9999999991221,9999999.77924205,0.00877900425960414,7462153.80163329,0.00623907442443347,155605306.13227,52377.3191442443,20.3525997009351
7,4.62851978966228e-13,0.999999999999537,9999999.77046304,4.62851968342064e-06,7106813.13817358,3.13276430966365e-06,148143152.330637,52377.3129051699,20.3452297042819
8,8.60863719915157e-10,0.999999999139136,9999999.77045842,0.00860863700154755,6768393.46492409,0.00554920416767999,141036339.192463,52377.3129020371,20.3374911895056
9,9.53142845372349e-10,0.999999999046857,9999999.76184978,0.00953142822673231,6446089.00866421,0.00585147011356346,134267945.727539,52377.3073528329,20.3293657669121
10,1.13919558858074e-09,0.999999998860804,9999999.75231835,0.0113919556036496,6139132.38335254,0.00666064050364611,127821856.718875,52377.3015013628,20.320834075103
11,1.42981209759463e-09,0.999999998570188,9999999.74092639,0.0142981206055197,5846792.7393894,0.00796172856276894,121682724.335522,52377.2948407223,20.3118758025669
12,1.85369373481345e-09,0.999999998146306,9999999.72662827,0.0185369368413871,5568374.02955199,0.00983053338255091,115835931.596133,52377.2868789938,20.3024696224389
13,2.44796803789357e-09,0.999999997552032,9999999.70809134,0.0244796796643526,5303213.35164755,0.0123639016980606,110267557.566581,52377.2770484604,20.2925931421039
14,3.23933270430830e-09,0.999999996760667,9999999.68361166,0.0323933260181958,5050679.37015757,0.0155817436787873,104964344.214933,52377.2646845587,20.2822228500833
