"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","ex"
0,0.01080429,0.98919571,1e+07,108042.9,1e+07,102898,177908963.082206,1528144.20767979,17.2908963082206
1,0.00440199,0.99559801,9891957.1,43544.296234629,9420911.52380952,39495.9603035184,167908963.082206,1425246.20767979,17.323006049664
2,0.00454767,0.99545233,9848412.80376537,44787.3314552997,8932800.72903888,38688.9808489793,158488051.558397,1385750.24737628,17.2422575926475
3,0.00471059,0.99528941,9803625.47231007,46180.8601136091,8468740.28490234,37993.1079034839,149555250.829358,1347061.2665273,17.1596808731964
4,0.00484162,0.99515838,9757444.61219646,47241.8389833026,8027473.83009874,37015.2169955073,141086510.544456,1309068.15862381,17.0754556826404
5,0.00504765,0.99495235,9710202.77321316,49013.7050282094,7608197.9545271,36574.7813382559,133059036.714357,1272052.94162831,16.9889030897498
6,0.00524207,0.99475793,9661189.06818495,50644.6293786603,7209328.03249708,35992.1925707733,125450838.75983,1235478.16029005,16.9011833272591
7,0.00543836,0.99456164,9610544.43880629,52265.6004542266,6830034.50504549,35375.415667485,118241510.727333,1199485.96771928,16.811993173678
8,0.00563282,0.99436718,9558278.83835206,53840.0642062463,6469419.35104251,34705.785437085,111411476.222287,1164110.55205179,16.721248179612
9,0.0058262,0.9941738,9504438.77414582,55374.7611859284,6126645.97746054,33995.2998036958,104942056.871245,1129404.76661471,16.628794002023
10,0.00613027,0.99386973,9449064.01295989,57925.3136467276,5800905.63111111,33867.7312030776,98815410.8937842,1095409.46681101,16.5344799894387
11,0.00634584,0.99365416,9391138.69931316,59594.6636036494,5490804.29842655,33184.5386182163,93014505.2626731,1061541.73560793,16.4400510758192
12,0.00658733,0.99341267,9331544.03570951,61469.9599727503,5196152.88845469,32598.8321968611,87523700.9642466,1028357.19698972,16.3439425942826
13,0.00686127,0.99313873,9270074.07573676,63604.4811536304,4916118.20442665,32124.5850976061,82327548.0757919,995758.364792855,16.2464541437717
14,0.00715908,0.99284092,9206469.59458313,65909.8523451882,4649892.75245158,31703.7659106867,77411429.8713652,963633.779695249,16.1480032965387
15,0.00812627,0.99187373,9140559.74223794,74278.6564165559,4396765.52213844,34027.9083424647,72761537.1189137,931930.013784562,16.0488782043407
16,0.00845708,0.99154292,9066281.08582139,76674.2644452783,4153367.82702748,33452.7276024738,68364771.5967752,897902.105442098,15.9600811784357
17,0.00878197,0.99121803,8989606.82137611,78946.4574171204,3922135.67909036,32803.8836854297,64211403.7697477,864449.377839624,15.8715406664973
18,0.0090946,0.9909054,8910660.36395899,81038.8917460614,3702563.42973396,32069.8413029128,60289268.0906574,831645.494154194,15.7831155319301
19,0.00939622,0.99060378,8829621.47221293,82965.0658696366,3494181.044158,31268.6607721317,56586704.6609234,799575.652851281,15.6945543020823
20,0.00954636,0.99045364,8746656.40634329,83498.7308512594,3296522.80985454,29971.2318962695,53092523.6167654,768306.99207915,15.6056139087077
21,0.00984314,0.99015686,8663157.67549203,85272.6738419427,3109574.30129853,29150.4525600796,49796000.8069109,738335.76018288,15.5137677964847
22,0.0101216,0.9898784,8577885.00165009,86821.9208327015,2932348.88200995,28266.7261372875,46686426.5056123,709185.3076228,15.4211704964696
23,0.01037641,0.98962359,8491063.08081739,88106.7518624244,2764446.49482457,27319.0764317739,43754077.6236024,680918.581485513,15.3274279156845
24,0.01061386,0.98938614,8402956.32895496,89187.8020616419,2605487.10911543,26337.4051504342,40989631.1287778,653599.505053739,15.232041423415
25,0.01071761,0.98928239,8313768.52689332,89103.7287015171,2455078.88924522,25059.5981468223,38384144.0196624,627262.099903305,15.1345868101465
26,0.01094971,0.98905029,8224664.79819181,90057.6943874088,2313110.77256291,24121.8020547046,35929065.1304172,602202.501756483,15.0327905418935
27,0.01118516,0.98881484,8134607.1038044,90986.8819931888,2178840.8384814,23210.174659951,33615954.3578543,578080.699701778,14.9283662047035
28,0.01142773,0.98857227,8043620.22181121,91920.3201173986,2051876.33817947,22331.7036058131,31437113.5193729,554870.525041827,14.8211540746483
29,0.01167715,0.98832285,7951699.90169381,92853.1925070639,1931836.2375175,21484.1347818356,29385237.1811934,532538.821436014,14.7110394300062
30,0.01183078,0.98816922,7858846.70918674,92976.2864701124,1818359.90094911,20488.2056656674,27453400.9436759,511054.686654178,14.5978917481332
31,0.01217004,0.98782996,7765870.42271663,94510.9536792783,1711283.12857158,19834.6515486108,25635041.0427268,490566.480988511,14.4800115566642
32,0.01242405,0.98757595,7671359.46903735,95309.3536112935,1609958.80423385,19049.7225540396,23923757.9141552,470731.8294399,14.359857190905
