"Edad","exposicion","muertes","qx_crudo"
0,21240.9890485968,5,0.000235393935214627
1,24648.8850102669,0,0
2,28361.5646817248,3,0.000105776956725279
3,32464.052019165,5,0.000154016510232558
4,36810.3552361396,4,0.000108665074660102
5,41658.3757700205,2,4.80095530138096e-05
6,46910.2313483915,1,2.13173111974919e-05
7,52466.71321013,0,0
8,58432.3490759754,2,3.42276158947426e-05
9,64417.0924024641,5,7.76191506558707e-05
10,68959.8911704312,10,0.000145011829779218
11,72643.6036960986,4,5.50633475830003e-05
12,75465.234770705,6,7.95068089065185e-05
13,77285.1663244353,10,0.00012939093587534
14,78190.3347022587,5,6.39465225342687e-05
15,78202.8453114305,22,0.000281319687440891
16,77560.1279945243,41,0.00052862212918079
17,76488.5071868583,48,0.000627545258305773
18,74846.3347022587,51,0.000681396092445672
19,72225.3750855578,55,0.000761505218004715
20,68730.9383983573,59,0.000858419823370404
21,64353.0150581793,74,0.00114990727214722
22,59444.0362765229,60,0.0010093527249881
23,55509.5379876797,66,0.0011889848554432
24,52046.8945927447,58,0.00111437964654447
25,49007.1327857632,59,0.00120390638354464
26,46776.2908966461,63,0.00134683615978019
27,44974.5906913073,59,0.00131185184996922
28,43442.6666666667,61,0.00140414953041557
29,41858.090349076,73,0.00174398782627721
30,40130.3360711841,65,0.00161972229399478
31,38345.2026009582,65,0.00169512730644369
32,37034.9746748802,59,0.00159308870919839
33,36279.8015058179,75,0.00206726599614865
34,35940.553045859,68,0.00189201317835132
35,36057.3908281999,66,0.00183041530415957
36,36392.1841204654,92,0.00252801534789617
37,37045.1054072553,88,0.00237548251064674
38,37987.3127994524,80,0.00210596628464736
39,39028.1533196441,110,0.00281847821748291
40,40318.2785763176,113,0.00280269902362287
41,42103.5804243669,105,0.00249384966650562
42,44269.826146475,117,0.00264288365653128
43,47049.9000684463,144,0.00306058035809884
44,50054.6755646817,153,0.0030566575104915
45,53250.6221765914,163,0.00306099709895322
46,56562.7364818617,192,0.00339446094623745
47,59721.7125256674,217,0.00363351938219684
48,62736.6940451745,237,0.00377769347918372
49,65808.006844627,236,0.00358618975586356
50,68710.8945927447,284,0.00413326011374604
51,73926.2936344969,279,0.00377402932411869
52,80004.2525667351,341,0.00426227342997245
53,85347.0848733744,360,0.00421807025435158
54,90020.7994524298,441,0.00489886784701395
55,93986.521560575,464,0.00493687810013214
56,96857.4120465435,507,0.00523449872639967
57,97776.832991102,519,0.00530800583454396
58,97780.3073237509,587,0.00600325378459327
59,96780.5195071869,603,0.00623059271711413
60,95548.2464065708,705,0.00737847136409106
61,93356.2176591376,746,0.00799089786096301
62,90559.9342915811,763,0.00842535947015293
63,87181.3675564682,797,0.00914186164244069
64,80862.6632443532,899,0.0111176155215588
65,72999.5270362765,1175,0.0160959946961861
66,65164.6728268309,1180,0.018107970911413
67,57560.6851471595,1137,0.0197530657790669
68,50201.9965776865,1110,0.0221106743888622
69,43485.5106091718,1025,0.0235710696653016
70,38341.7063655031,1028,0.0268115349431844
71,33773.5215605749,958,0.0283654163301202
72,29824.1437371663,882,0.0295733553248963
73,25942.2532511978,813,0.0313388352248262
74,22618.4620123203,786,0.0347503733707386
75,19802.0978781656,668,0.0337337995251784
76,17329.5208761123,679,0.039181694915522
77,15073.7371663244,656,0.043519400183356
78,13110.4661190965,617,0.0470616371984888
79,11259.0150581793,582,0.0516919106149694
80,9545.77754962355,540,0.0565695143421078
81,7999.77070499658,475,0.0593767018476317
82,6546.24435318275,462,0.0705748174180785
83,5209.45585215606,401,0.0769754099814545
84,4056.3401779603,363,0.0894895359053766
85,3055.24366872005,266,0.0870634321980074
86,2303.53867214237,257,0.111567477945131
87,1728.03148528405,194,0.112266472950353
88,1268.31416837782,168,0.132459294541251
89,879.954140999316,134,0.152280662998896
90,592.924709103354,92,0.155163039400275
91,383.258726899384,72,0.187862649814891
92,248.997262149213,39,0.156628228211718
93,175.015058179329,30,0.171413821828179
94,118.134154688569,30,0.253948572951551
95,72.2464065708419,18,0.249147339699864
96,45.4613278576318,10,0.219967178066517
97,33.5462012320329,2,0.0596192691436616
98,24.0417522245038,9,0.374348754448399
99,13,5,0.384615384615385
100,8.34633812457221,2,0.239626045596195
101,4.76522929500342,0,0
102,2.50376454483231,1,0.399398578458174
103,1.85215605749487,0,0
104,1,0,0
105,1,0,0
106,1,0,0
107,0.370294318959617,0,0
